8,P0915N-FC15BR100K,987-1709-ND,"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8",100KA,POT,ALPS_POT
2,P0.0GCT-ND,ERJ-3GEY0R00V,"R1, R2",470,R-US_R0603,R0603
2,WP424GDT,754-1304-ND,"D1, D2",CX-G302DC,DIP-LED-GREEN-GREEN(2P-D3MM),LED2-2.54-D3.0MM
8, S1011EC-10-ND, S1011EC-10-ND,"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8",1X10,MALE,1X10_2.54MM
18,WQP_PJ302-12,n/a,"PJ1, PJ2, PJ3, PJ4, PJ5, PJ6, PJ7, PJ8, PJ9, PJ10, PJ11, PJ12, PJ13, PJ14, PJ15, PJ16, PJ17, PJ18",JACK-3_5MM-MONO-SW-WQP_PJ302-12,JACK-3_5MM-MONO-SW-WQP_PJ302-12,WQP_PJ301M-12
